,retail,book,food,auto,furni,electro,health,cloth,jewelry,sport
Jan-00,213709,1505,22713,51413,3897,6276,11960,6683,1244,1591
Feb-00,227087,1090,23493,58828,4072,6208,12151,7470,1979,1681
Mar-00,253717,1031,25798,64815,4363,6364,12957,9283,1500,2065
Apr-00,239051,975,25366,56524,4032,5749,12427,9420,1560,1991
May-00,257581,1104,26125,62467,4256,5871,13237,9496,2126,2187
Jun-00,255066,1122,26222,62396,4175,5833,12813,9156,1771,2319
Jul-00,244445,1048,26701,57942,4205,5872,12526,8872,1632,2237
Aug-00,257487,1594,26457,62020,4340,6307,13021,10340,1757,2257
Sep-00,243624,1406,25531,56972,4201,5980,12598,9683,1694,2007
Oct-00,245167,1014,25732,55319,4157,5718,13063,9823,1670,1725
Nov-00,252145,1098,24362,50547,4485,6874,13047,11492,2159,1939
Dec-00,294197,1892,25761,48539,4434,10740,15434,16379,5729,3309
1-Jan,226791,1585,23955,51954,4052,6026,13319,7211,1322,1739
1-Feb,223971,1070,23801,54168,3930,5641,12862,7820,1960,1704
1-Mar,253439,1062,27010,62034,4350,5941,13991,9492,1569,2111
1-Apr,249062,934,25863,57327,3886,5138,13466,9676,1534,2071
1-May,268658,1070,27355,63534,4148,5457,14226,9674,1977,2185
1-Jun,260315,1077,27566,62193,4223,5616,13663,9292,1617,2352
1-Jul,251504,1005,27594,58994,4145,5616,13518,9055,1519,2199
1-Aug,266460,1820,28303,63267,4332,6050,14046,10567,1667,2382
1-Sep,236210,1406,25714,52943,3950,5423,12963,8910,1383,1984
1-Oct,265188,1015,26408,70850,4131,5523,14312,9815,1575,1882
1-Nov,262004,1098,25533,57131,4633,7141,13994,11212,2137,2151
1-Dec,298666,1956,27536,53281,4792,11442,16173,16484,5301,3398
2-Jan,230546,1971,25052,52948,4097,6108,14467,7468,1294,1739
2-Feb,228084,1000,25002,54817,4112,5789,13995,7971,1989,1763
2-Mar,257133,1008,28128,60116,4448,6100,15040,10178,1600,2167
2-Apr,257357,966,27390,60242,4110,5352,14865,9517,1614,2157
2-May,271682,1116,28720,61020,4403,5862,15395,9882,2105,2141
2-Jun,260385,1045,28469,60575,4150,5880,14424,9530,1655,2276
2-Jul,266795,1038,28638,65824,4150,5760,14884,9338,1542,2177
2-Aug,277716,1797,29540,69228,4371,6346,15060,10804,1733,2384
2-Sep,246350,1490,26839,56437,4047,5664,14432,9139,1492,1998
2-Oct,259945,997,27595,57414,4182,5793,15298,10461,1651,1897
2-Nov,263738,1059,26967,52483,4677,7124,14934,11703,2193,2133
2-Dec,308821,1950,28185,55578,4517,11225,17189,16843,5770,3387
3-Jan,242271,2056,26057,54379,4036,5943,15534,7920,1356,1761
3-Feb,233478,991,25573,53150,3824,5582,14773,7941,2012,1747
3-Mar,264532,925,29161,61877,4283,5797,15849,9949,1474,2121
3-Apr,265990,975,28261,61336,3989,5287,15736,9992,1612,2135
3-May,281482,1107,30907,65092,4375,5793,16170,10522,2066,2182
3-Jun,271242,1181,29756,63414,4138,5860,15504,9853,1707,2325
3-Jul,279323,1128,30600,66899,4285,5936,16004,10140,1674,2293
3-Aug,285212,2139,31844,66850,4530,6578,16002,11175,1758,2548
3-Sep,265331,1572,28559,60369,4259,5995,15718,10042,1626,2075
3-Oct,273781,1045,30255,58079,4410,6112,16516,10875,1756,1970
3-Nov,272396,1036,28869,53065,4689,7512,15708,12209,2288,2200
3-Dec,327693,2064,29884,57750,4901,11991,18912,17743,6164,3643
4-Jan,252818,2146,28642,52917,4365,6468,16336,8682,1463,1901
4-Feb,253689,1108,28755,56122,4335,6262,15649,9133,2346,1888
4-Mar,287944,1073,31133,66693,4638,6385,17170,10893,1766,2287
4-Apr,284325,1023,30866,61142,4307,5856,16542,10974,1829,2221
4-May,296253,1113,32155,65214,4458,6193,16528,10998,2230,2305
4-Jun,289664,1207,31380,62812,4573,6408,16388,10396,1887,2514
4-Jul,294875,1172,33125,66631,4846,6516,16306,10796,1792,2530
4-Aug,294133,2120,32184,65194,4786,6911,16377,11380,1800,2621
4-Sep,282974,1561,30550,63519,4525,6473,15986,10579,1732,2216
4-Oct,287468,1069,32258,58913,4683,6435,16421,11695,1852,2103
4-Nov,294278,1089,29981,56199,5012,8025,16460,12823,2409,2306
4-Dec,354627,2200,32528,62718,5321,12473,19127,18940,6517,3748
5-Jan,263469,2076,29792,53509,4444,6748,16859,8932,1469,1956
5-Feb,265320,1086,29742,57407,4570,6675,16445,9501,2412,1976
5-Mar,306384,1101,32757,68039,4852,6981,18056,11744,1786,2408
5-Apr,302054,997,33578,64571,4610,6242,17107,11544,1924,2539
5-May,311292,1120,34056,65429,4648,6592,17639,11502,2261,2493
5-Jun,317375,1154,33570,71603,4816,6749,17201,11479,1968,2655
5-Jul,316887,1214,34940,75311,4875,6816,17018,11267,1767,2652
5-Aug,321409,2218,34292,68925,5180,7358,17618,12148,1954,2788
5-Sep,300439,1554,32850,58825,5043,6843,17105,11142,1756,2338
5-Oct,302213,1064,33921,53555,4922,6804,17387,12387,1892,2246
5-Nov,311715,1151,32083,55055,5312,8482,17466,13649,2471,2492
5-Dec,370726,2257,34882,60842,5473,13040,20184,20280,6761,4170
6-Jan,286152,2225,32394,56440,4794,7450,17892,9489,1560,2100
6-Feb,282417,1101,31634,57559,4804,6938,17218,9824,2600,2154
6-Mar,326153,1092,35840,69930,5154,7223,19024,12148,1968,2792
6-Apr,316526,987,35141,63333,4647,6427,17763,12495,1876,2713
6-May,337393,1176,36167,67661,4881,6903,19038,12204,2568,2776
6-Jun,330844,1238,35771,66999,5006,7006,18454,12178,2122,3012
6-Jul,325905,1135,36298,68328,4986,6933,18006,12107,1928,2872
6-Aug,339155,2142,36640,70525,5359,7482,18813,12948,2093,3085
6-Sep,310775,1554,35439,61990,5128,6888,18100,12435,2017,2752
6-Oct,312976,1054,35820,59614,4854,6594,18892,12964,1993,2447
6-Nov,323089,1142,33839,57344,5241,8745,18890,14375,2630,2710
6-Dec,380188,2132,37803,61075,5268,13757,21246,21379,6748,4456
7-Jan,295284,2220,33593,57009,4851,7317,19598,10335,1699,2200
7-Feb,290065,1039,33097,59771,4903,6987,18431,10531,2521,2171
7-Mar,335917,1027,38225,70738,5195,7074,20224,13563,1999,2969
7-Apr,321981,930,36554,64366,4688,6314,19259,12757,1954,2737
7-May,353201,1134,38311,70465,5018,6840,20181,13423,2678,3087
